City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
172,Armidale,-30.52,151.65,broken clouds,62.01,66,82,13.62,AU,2020-04-16 22:48:32,0.0,0.0
173,Georgetown,5.41,100.34,few clouds,82.4,88,20,3.51,MY,2020-04-16 22:48:32,0.0,0.0
174,Ratnagiri,16.98,73.3,clear sky,78.28,88,5,2.35,IN,2020-04-16 22:48:32,0.0,0.0
175,Erzin,36.96,36.2,scattered clouds,62.01,71,40,4.7,TR,2020-04-16 22:48:32,0.0,0.0
176,Chicama,-7.84,-79.15,few clouds,71.6,83,11,6.93,PE,2020-04-16 22:43:33,0.0,0.0
177,Quatre Cocos,-20.21,57.76,scattered clouds,75.2,73,40,12.75,MU,2020-04-16 22:48:32,0.0,0.0
178,Butaritari,3.07,172.79,light rain,83.98,75,99,13.87,KI,2020-04-16 22:44:39,1.84,0.0
179,Sola,-13.88,167.55,light rain,82.63,77,96,15.9,VU,2020-04-16 22:48:33,0.54,0.0
180,Beloha,-25.17,45.05,clear sky,75.07,64,5,6.69,MG,2020-04-16 22:48:33,0.0,0.0
181,Antofagasta,-23.65,-70.4,scattered clouds,66.2,77,25,10.29,CL,2020-04-16 22:48:33,0.0,0.0
182,Codrington,-38.27,141.97,light rain,59.74,66,69,19.66,AU,2020-04-16 22:48:33,0.13,0.0
183,Pacora,9.08,-79.28,few clouds,89.6,55,20,10.29,PA,2020-04-16 22:48:33,0.0,0.0
184,Hilo,19.73,-155.09,light rain,77.0,65,90,6.93,US,2020-04-16 22:48:34,0.0,0.0
185,Adamovka,51.52,59.94,light rain,43.74,79,100,7.09,RU,2020-04-16 22:48:34,0.95,0.0
186,Kenora,49.82,-94.43,scattered clouds,33.8,31,40,16.11,CA,2020-04-16 22:48:34,0.0,0.0
187,Tabuk,17.42,121.44,broken clouds,78.55,70,65,5.59,PH,2020-04-16 22:48:34,0.0,0.0
188,Bredasdorp,-34.53,20.04,overcast clouds,62.6,72,100,1.12,ZA,2020-04-16 22:48:34,0.0,0.0
189,Chokurdakh,70.63,147.92,overcast clouds,-4.65,91,87,9.93,RU,2020-04-16 22:48:00,0.0,0.0
190,Castro,-24.79,-50.01,clear sky,53.17,38,0,1.72,BR,2020-04-16 22:48:35,0.0,0.0
